 [ e4 ]  [ e5 ]  [ N f3 ]  [ N c6 ] , [ B b5 ]  The Ruy Lopez also known as the Spanish Game. Or the Spanish Torture.
 [ Q c2 ] , [ c4 ]  22. .... [ c4 ] - opening up an attacking line for Fou Lenoir onto that wretched pawn (I nearly said thorn!) on d6!
 [ c7 ] , [ Q f1 + ]  So the dance begins to keep his pawn from promoting
 [ R x b6 ]  [ Q x b6 ]  [ R b1 ]  [ Q d6 ]  [ R b3 ]  [ g6 ]  [ K g2 ] , [ N c6 ]  Getting the Knight into play is crucial for Black
 [ K g3 ] , [ R g8 ]  ? Why would white not take the rook?
 [ c6 ]  [ f4 ]  [ d5 ]  [ N f3 ]  [ d x e4 ]  [ N g5 ]  [ N f6 ]  [ B c4 ]  [ B g4 ]  [ Q x g4 ]  [ N x g4 ]  [ B x f7 + ]  [ K d7 ]  [ B e6 + ]  [ K c7 ]  [ B x g4 ] , [ K b6 ]  Black moves her King away from the fork with Nc3. Of course the goal for Black is to now activate her pieces and protect her King while White seeks to cramp black and attack the exposed King.
 [ Q g3 + ] , [ K f1 ]  This was forced.
 [ R x e1 ] , [ R x e1 + ]  ? [ B c6 ] was better due to problems with the [ b7 ] bishop.
 [ N x b3 ] , [ c x b3 ]  !!
 [ Q c8 + ] , [ K f7 ]  I knew I had to wipe the deficit before the endgame
 [ R a d8 ]  [ Q f3 ] , [ B x b3 ]  ! I didn't see This move. I can't take because I would lose a pawn.
 [ Q f2 ] , [ Q x f2 # ]  and ending matter quickly!
 [ N c6 ] , [ N f3 ]  desperate to save the pawn
 [ h6 ] , [ N d f3 ]  I was so keen to maintain the threat of [ h7 # ] that I'm willing to lose material. Not an amazing strategy what else is really on for white though?
 [ d5 ]  [ c x d5 ] , [ c x d5 ]  32. [ c x d5 ] - pawn trade.
 [ N g5 ]  [ K g2 ]  [ R b2 + ] , [ K g3 ]  I think I'm into a mate net but I'll let my opponent to show it.
 [ c7 ] , [ R c4 ]  No choice left. After 60. ... [ R e8 ] 61. [ R b7 ] snuffs out all of blacks resistance...
 [ N e8 ]  [ N g1 ] , [ f5 ]  Probably premature as black cannot hold the square.
 [ b6 ]  [ R x a5 ]  [ b7 + ] , [ K b8 ]  No. They don't if I play like that. Learn beginners how NOT to play an endgame. Which were the bad strategic decisions white has made that lead him to this after such a wonderful attack? How big blunders were white's that led him to this defeat? :-)
 [ e6 ]  [ O-O ]  [ b6 ] , [ d4 ]  9. [ d4 ] - after black prepares to fianchetto his lsb on [ b7 ] Lallit decided to strike out in the centre and poke the [ c5 ] knight.
 [ R f e8 ] , [ B e4 ]  Cutting the link on the file.
 [ K d6 ] , [ R x e2 ]  That powerful e pawn has finally taken his last breath. *funeral music plays in the distance* If not for that stupid f pawn dropping the e pawn may have one day grown up to be the queen but she was stabbed in the back by one of her closes friends.
 [ g x h5 ]  [ B x h5 ] , [ Q g5 ]  Threatening [ Q x g7 ] ...
 [ B x d3 ]  [ N x d3 ] , [ R d7 ]  A somewhat clumsy move to protect f7.
 [ e3 ]  [ Q f6 ]  [ B e2 ] , [ B b4 + ]  My opponent continues the attack before my king can castle safely.
 [ K c2 ] , [ N d7 ]  opens the h8-[ a1 ] diagonal for my bishop
 [ N g8 ] , [ f4 ]  by now [ f4 ] has lost its momentum...
 [ e x f5 ]  [ N x f5 ] , [ Q e4 ]  Pressuring the knight slightly.
 [ g4 ] , [ g5 ]  Freezing the h pawn.
 [ R d8 ]  [ K f5 ]  [ R d7 ]  [ R e3 + ] , [ K f2 ]  51.[ K g2 ] is slightly better but the pawn is lost anyway after Kg5.
 [ R f1 ]  [ f5 ]  [ R g1 ] , [ f6 ]  Now its only matter of time when white will get his pawns through
 [ N e5 ]  [ B d5 ]  [ R c1 ]  [ Q f8 ]  [ c4 ]  [ B c6 ]  [ b4 ]  [ B e8 ]  [ Q d6 ]  [ N h5 ]  [ g4 ]  [ N f4 ] , [ R e4 ]  attacking the knight
 [ R x g2 + ] , [ K h4 ]  Now I had a hope tp perform my favourite (King-Rook-King) checkmate on White.
 [ B e3 ]  [ e6 ]  [ f3 ]  [ b5 ]  [ g4 ] , [ h6 ]  Pawns pawns pawns.
 [ c6 ]  [ d4 ]  [ d5 ]  [ e5 ] , [ B f5 ]  The Caro-Kann Bayonet variation.
 [ N f3 ] , [ e6 ]  Here I am accepting that my lsb can be exchanged with some manouvering by white. This would be ok to me because as a payment for it in the meantime black starts his own plans on the queenside.
 [ e4 ]  [ c5 ]  [ d4 ]  [ g6 ]  [ N f3 ] , [ B g7 ]  the Hungarian variation of the Sicilian: I will stick to this until I die...
 [ N e7 ] , [ R c4 x c7 ]  A free pawn.
 [ K e5 ]  [ R h5 + ]  [ K e4 ]  [ R h4 + ]  [ K e5 ]  [ R h5 + ] , [ K d6 ]  so now black can't go back down that path lest it be a draw by reppition.
 [ e x d4 ] , [ N d5 ]  Theoretically not a bad move...
 [ K g4 ] , [ B e2 + ]  Mate in 1.
 [ Q a6 ] , [ B f4 ]  The first pin.
 [ Q e6 ]  [ N x g5 ]  [ N x g5 ]  [ R f2 x f4 ]  [ R x f4 ]  [ R x f4 ]  [ e x f4 + ]  [ Q x f4 ]  [ Q e5 ] , [ Q x e5 ]  Somewhat forced exchange. Simpler is not always better.
 [ R e x e3 ]  [ f x e3 ]  [ R x e3 ]  [ d5 ] , [ R f3 ]  I'm hoping to win a rook with 32...[ B f4 + ] but White's passed d-pawn is much too fast. It will either promote or Black will have to give up a bishop or rook to stop it. I don't know how I could have played this move to be honest. Very careless 31...[ R f3 ] really is a ridiculous move. You have to realize the strength of a passed pawn and keep it in mind at all times. 31...[ B f4 ] is better but Black still seems to be in hot water. ie) 31...[ B f4 ] 32.[ R x f3 ] [ B x f3 + ] 33.[ K c2 ] and maybe 33...[ B c5 ] 34.[ d6 ] Kf7... White may have better options than advancing this pawn right away. I'm not sure.
 [ g5 ]  [ K e2 ]  [ K g7 ]  [ K f3 ]  [ h5 ]  [ K g3 ]  [ d5 ]  [ b4 ]  [ d x e4 ]  [ d x e4 ]  [ K f7 ]  [ c4 ]  [ b6 ]  [ h4 ]  [ g4 ]  [ K f2 ]  [ K e7 ] , [ K g3 ]  This move is bad because it is obvious that both kings can not pass on the f file so the action will take place queenside where both kings should be.
 [ R h1 ]  [ K h7 ]  [ Q f6 ] , [ R e6 ]  this move baffled me at first I couldn't understand why?
 [ B e2 ]  [ Q e5 ]  [ R a c1 ]  [ Q c5 ] , [ K h1 ]  bad move because it left the pawn in [ f2 ] unprotected.
 [ f5 ] , [ N h2 ]  It is already difficult to suggest moves for white. This ugly move may actually be white's best bet.
 [ d4 ] , [ d5 ]  I play the French as black so this suited me.
 [ g3 ]  [ d5 ]  [ N f3 ]  [ N f6 ]  [ d4 ] , [ e6 ]  So far all book play.
 [ Q x e5 ]  [ N e2 ] , [ O-O-O ]  Black has a lot of high powered protection on the d pawn not enough low power. The threatened c pawn can easily be replaced with black's black bishop which then adds protection to the h rook via the d rook. The d rook's cover isn't worth much in terms of a bishop/rook exchange however. The key idea is that black is exerting more control over the center of the board.
 [ e4 ] , [ c5 ]  this was as close as I could get: in instructing my approach to the Sicilian...
 [ B g4 ] , [ Q e2 ]  Not sure what the point behind that move is.
 [ Q h7 + ]  [ K x f6 ]  [ Q x f5 + ]  [ K e7 ] , [ R h7 + ]  And here black resigns. His decision of push g and h pawns was bad. Maybe White's only possibility to win was attacking the king by the queenside. What do you think about it?
 [ g5 ]  [ Q d3 + ]  [ K g8 ]  [ N d7 ] , [ R c7 ]  Rc7??? React react react! Again why did I not sit back and begin developing a plan rather than just react. [ R c7 ] is bad...watch what happens.
 [ e4 ] , [ d6 ]  E77. King's Indian/ Six Pawn Attack.
 [ Q f6 ]  [ Q d2 ]  [ Q x f2 + ]  [ K h1 ] , [ N d f6 ]  White is in serious trouble.
 [ B x f5 ]  [ Q x f5 ] , [ Q d1 ]  Although I would have preferred the Queen's to come off I was happy with this as it's just passive. I also notice that white's keeping an eye on the a-pawn which gives me options to use the a-pawn as a decoy in order to force a mating net on the opposite flank.
 [ d4 ]  [ d5 ]  [ e5 ]  [ B f5 ]  [ N c3 ]  [ e6 ] , [ g4 ]  Very sharp for my standarts
 [ e x d4 ] , [ B x d4 ]  This turns out to be a swap.
 [ N b4 ]  [ Q e3 ]  [ N c2 ]  [ Q b3 ]  [ N b4 ]  [ R h1 ]  [ R c7 c3 ] , [ Q a4 ]  White still has the advantage here although his moves are getting harder to find as Black's collection of pieces are suddenly well coordinated. I remembered Fischer's famous "Game of the Century" against Donald Byrne as an example of how Black should act in such a situation.
 [ g6 ]  [ R g7 ] , [ h4 ]  This blockading technique only works against isolated passed pawns.
 [ c x b4 ] , [ a x b4 ]  2 valorous pawns a knight two bishops and my queen are on the verge to attack an exposed king...
 [ d x c6 ] , [ B x c6 ]  Here I can create a little pressure on e6. Will it be enough?
 [ O-O-O ] , [ B e7 ]  White has gained several tempi here and I think he has an advantage despite being down a pawn now. 13...[ B x g3 ] may lead to 14.[ Q x g3 ] [ Q f6 ] (14...[ [ g6 ] ] 15.Nxg6!) 15.Nc4! (threatening 16.[ N d6 ] and 17.Nxb7) and I think white has the upper hand. 13...[ N x e5 ] 14.[ f x e5 ] [ B x g3 ] is somewhat better 15.[ Q x g3 ] [ R h7 ] (which is probably too passive even if it seems ok for now). After 15...[ [ g6 ] ] 16.[ B g5 ] and black has trouble completing his development. 15...[ N e7 ] giving back material seems risky but may be the best idea 16.[ Q x g7 ] [ R g8 ] 17.[ Q h7 ] (not 17.[ Q x h6 ] Qxd4!) [ R x g2 ] and I think black might untangle.
 [ O-O ]  [ O-O-O ]  [ K h8 ]  [ h4 ]  [ Q d7 ] , [ N e5 ]  Placing Knight on [ e5 ] means I need [ N c6 ]  [ N x e5 ]  [ d x e5 ]  [ N g4 ] , [ B d3 ]  Sacrificing one Rook and attacking on [ h7 ] pawn it depends only king
 [ B e7 ]  [ B x e7 + ] , [ K x e7 ]  Now we exchange bishops forcing his king out of his comfort zone.
 [ e3 ]  [ d5 ]  [ h4 ]  [ e5 ]  [ g3 ] , [ f5 ]  This defence worked once before but I suspect it is inherently weak?
 [ R h7 ]  [ N h4 ]  [ B g7 ]  [ N x g6 ] , [ B a6 ]  11...[ B x f6 ] 12.[ N x f6 + ] [ K f7 ] might have been good
 [ N f6 ]  [ f3 ]  [ K b8 ]  [ N c4 ]  [ d5 ] , [ B g5 ]  No time for the en prise knight there's bigger game afoot.
 [ R a b8 ] , [ N x a7 ]  20. [ N x [ a7 ] ] - firstly the [ a7 ] pawn drops.
 [ R b8 ] , [ Q c4 ]  Chessmaster now threatens to checkmate with 23. Qf7#. Unfortunately for Black he must sacrifice a piece to get out of it.
 [ R x d4 ]  [ f5 ] , [ g5 ]  ! Avoiding the trade.
 [ B g6 ] , [ B g5 ]  Another nice move at the very least threatens to pull my king defense apart by exchanging pieces.
 [ g5 ]  [ h x g5 ] , [ h x g5 ]  This Pawn now simply threatens to march to [ N8 ] and Black's King is cut off from guard duty by the White Rook.
 [ K g1 ]  [ Q c7 ] , [ N x d5 ]  An attempt to take the offensive
 [ N e4 ]  [ N x e4 ]  [ B x e4 ] , [ f5 ]  14.f5! ... Ion stated that "This move is very much a theme of this whole line. I felt that I was in deep trouble now and it was going to get worse!" I think white threatens to exchange pawns here or force a doubling on the f file either way black's castled position will start to look a little draughty which could be problematical if the queens are on the board.
 [ B x h2 + ] , [ K h1 ]  [ K x h2 ] looks safer to me for some reason partially because white got wiped out shortly after Kh1.
 [ B c6 ]  [ f4 ] , [ g6 ]  Controlling f5. White could think about 28.[ f5 ] gx[ f5 ] 29.[ B x h6 ] [ K e6 ] When he has a outside passed pawn but [ e5 ] is weak.
 [ B c7 ] , [ N f6 ]  Strengthing the knight with gain of time.
 [ N d2 ] , [ K b8 ]  Prepares ...[ R [ c8 ] ] with a battery down the c-file and allows my white-squared bishop to vacate the h3-[ c8 ] diagonal without allowing White to skewer R and K from f5.
 [ B x c4 ]  [ N x c4 ] , [ N d7 ]  I understand this move even less since Shakhriyar isn't going to place his N on [ b4 ] and I don't like where it is now.
 [ K c7 ]  [ N c3 ]  [ b6 ]  [ Q a3 ] , [ Q d4 + ]  A temporary offensive front. A second check! Yippee!
 [ Q g5 ] , [ Q f3 ]  ?
 [ R x e5 + ]  [ N e6 ] , [ R c1 ]  I don't much like this; that pawn isn't really going anywhere if Black doesn't want it to. The computer prefers 23.[ Q g4 ] or 23.[ Q h5 ] and so do I. When behind counterplay has to become the name of the game!
 [ Q d2 ] , [ N d5 ]  Black should drop a pawn with this exchange AND have to move the queen.
 [ B d4 ]  [ h6 ]  [ R d3 ]  [ K h7 ]  [ B c3 ] , [ R h d8 ]  Free at last black's KR rushes to the battle lines. Unfortunately this battle is already lost: while I have pieces enough to cover the threatened e6-pawn I cannot reasonably prevent [ e5 ] and a dangerous opening of the position. But as it happens white turns on a dime and opens the position in a different way.
 [ e4 ]  [ c6 ]  [ d4 ]  [ d5 ]  [ N c3 ]  [ d x e4 ]  [ N x e4 ] , [ N d7 ]  My favoraite way to play caro-kann defence. When played right this move is almost unbeatable
 [ R e b8 ] , [ R d7 ]  they take a pawn i take a pawn
 [ N x c4 ]  [ K c2 ]  [ B x f4 ]  [ h3 ]  [ B e5 ]  [ N g1 ]  [ N x b2 ]  [ R x e5 ]  [ d x e5 ]  [ K x b2 ] , [ b5 ]  
 [ R g5 ]  [ N d f3 ]  [ B x f3 ] , [ N x f3 ]  The knight has to capture the bishop instead of the pawn otherwise Qxh3#. At this point the rook could retreat to [ g7 ] and double the rooks as previously planned. However the problem that black faces is a return to [ N h4 ] where the knight is difficult to remove.
 [ e6 ]  [ B b3 ] , [ b5 ]  Aqui por supuesto hay otras alternativas viables: Alternative variation: 7... [ N b d7 ] 8. [ f4 ] [ N c5 ] 9. [ f5 ] [ B e7 ] 10. [ Q f3 ] O-O 11. [ B e3 ] [ e5 ] 12. [ N d e2 ] [ N x b3 ] 13. [ a x b3 ] [ b5 ] 14. O-O ( 14. [ g4 ] [ b4 ] 15. [ N a4 ] [ B b7 ] 16. [ N g3 ] $17) (14. Nx[ b5 ] [ d5 ] 15. ex[ d5 ] Nx[ d5 ] $17) Alternative variation: 7... [ N c6 ] 8. [ B e3 ] [ B e7 ] 9. [ Q e2 ] $11
 [ a4 ] , [ e6 ]  pushing the bishop back
 [ B f6 ] , [ B g5 ]  If 14.[ N e5 ] then 14...[ B x e5 ] 15.[ Q x e5 ] [ R e8 ] wins.
 [ e4 ]  [ c5 ]  [ N c3 ]  [ e6 ]  [ f4 ]  [ d6 ]  [ N f3 ]  [ N f6 ] , [ d4 ]  A little aggressive here but this wins the centre and also frees up the bishop on [ c1 ]  [ c x d4 ]  [ N x d4 ]  [ B e7 ] , [ B d3 ]  Strengthening the centre please note not only is white ahead on development but he is already aiming his pieces toward where black's king will end up next move.
 [ e4 ] , [ N f6 ]  Alekhine's defense. Most of white's responses tend to be pretty good for black.
 [ Q x h6 ] , [ a6 ]  Black is pretending that they don't have a problem.
 [ f4 ]  [ f3 ]  [ R g8 ]  [ b3 ]  [ N d7 ]  [ d4 ]  [ K f5 ]  [ d x e5 ]  [ d x e5 ]  [ B d2 ]  [ b4 ]  [ c4 ]  [ R a d8 ]  [ R a d1 ]  [ N f6 ]  [ R f e1 ]  [ N h5 ]  [ R e2 ]  [ B f6 ]  [ K f1 ]  [ B h4 ] , [ B e1 ]  error with bishop
 [ c6 ] , [ c4 ]  English Variation aka the Accelerated Panov-Botvinnik Variation.
 [ K c8 ]  [ b7 + ]  [ K b8 ] , [ R e3 ]  After [ R e8 + ] there is no way to prevent a pawn from promoting. And there is no way to stop Re8.
 [ Q x a2 ] , [ B e7 ]  White should have captured. He is hoping for 31...Rxe7?? 32. [ Q c8 # ] but Black sees through right his trap.
 [ N g3 ] , [ K h4 ]  Both mistakes just effect the margin of victory.
 [ R x e3 ]  [ f x e3 ] , [ Q x e3 + ]  I had overlooked this shot.
 [ K b5 ]  [ N d4 + ]  [ K b4 ]  [ a3 + ]  [ K a5 ]  [ R c5 + ]  [ K a4 ] , [ R c4 + ]  If I didn't play this attack accurately I would appreciate comments showing me how I went wrong.
 [ B x d5 ]  [ Q x d5 ]  [ N d7 ] , [ O-O ]  Safe finally
 [ B x e5 ] , [ d x e5 ]  white has now removed one of the attackers from the K-side of the board.
 [ B g6 ]  [ R g4 ]  [ N d8 ]  [ K c2 ]  [ N e6 ]  [ f4 ] , [ N x f4 ]  Taking another pawn. My pawn can recapture either the queen or rook if white tries to take the knight.
 [ e4 ]  [ e5 ] , [ d3 ]  Indian Opening (according to Gameknot).
 [ B d6 ]  [ R d8 ] , [ Q f7 ]  ! with the threat of [ R e8 ] and mate
 [ B b3 ] , [ N d4 ]  Trying to maintain pressure on white and opening c so my pawn can advance
 [ Q b7 ]  [ h4 ]  [ Q c6 ]  [ h5 ]  [ N h8 ]  [ N g5 + ]  [ h x g5 ] , [ f x g5 ]  Threatening mate... how?
 [ c6 ] , [ O-O ]  Tucking the king away and connecting the rooks. White is far ahead in development but does have three pieces hanging.
 [ N c3 ]  [ B x c3 + ]  [ b x c3 ] , [ Q x c3 + ]  [ Q b6 ] is still preferential here. Black does bad to be greedy. I spent 30 seconds and decided to really bait black with the next couple of moves
 [ Q f2 ] , [ B d3 ]  Oops. 16. Qf2? was a mistake allowing the black bishop to sneak into the heart of the enemy camp and win the exchange.
 [ g6 ] , [ Q d3 ]  A nice central position for the Queen.
 [ d4 ] , [ B e6 ]  I of course blockade the passed Pawn.
 [ N f3 ] , [ B c5 ]  A clear threat on f2. 5. [ e3 ] is pretty much forced and the black bishop has a harder time getting developed. In addition to speeding his development with the gambit black also inhibits White's development.
 [ d4 ]  [ d5 ]  [ e3 ]  [ N f6 ]  [ B d3 ]  [ c5 ]  [ c3 ]  [ e6 ]  [ f4 ] , [ b6 ]  I don't like playing against the Stonewall type formations. Or is it Colle? Anyway I like piece manouvers but this particular pawn structure is ... well ... just boring. I quickly played 5...[ b6 ] only to realise that the planned exchange of white square bishops was not possible. Let's say 6. [ N f3 ] [ B [ [ a6 ] ] ] 7. B:[ [ a6 ] ] N:[ [ a6 ] ] 8. [ Q a4 ] and I lose the piece... Well too late.
 [ B c3 ] , [ d5 ]  A strong move but you needed to arrange a defence for your e-pawn first.
 [ R x g6 + ]  [ N x g6 ] , [ Q x g6 + ]  White will lose a R all the same but white will do it in a winning mate net.
 [ Q x d4 + ]  [ Q x d4 ]  [ R x d4 ]  [ R x c5 ] , [ B a6 ]  In view of [ R c7 ] .
 [ O-O ] , [ B x c6 ]  Giving up the bishop pair.
 [ g6 ]  [ N c3 ]  [ B g7 ]  [ e4 ] , [ d6 ]  free the bishop
 [ K x f7 ]  [ Q c7 + ] , [ K e6 ]  White has managed to flush the enemy king out of his hiding place but Black escapes the checks he runs his king into the region of its opposite number whereupon the threat of a cross-check eventually causes White to run out of checks.
 [ R x e7 + ] , [ K x e7 ]  With a lot of the wood gone an even endgame has emerged.
 [ N x d5 ]  [ N x d5 ]  [ Q x d5 ] , [ K b1 ]  Protecting the a-pawn.
 [ g3 ] , [ c5 ]  Fantastic move by black; it makes space for [ B c6 ]  [ Q f4 ]  [ Q h3 ]  [ B x c5 ] , [ B c6 ]  Black develops the bishop threatening mate in one - causing loss of tempo for white who must prevent the threat
 [ Q x c6 ] , [ B x f2 + ]  I take it this means u give up then?
 [ B x g4 ] , [ h3 ]  I thought this move was pretty good. I expected f2-[ f3 ] then my queen goes to [ h7 ] and if he takes the bishop rock a8-[ g8 ] or h3[ x g2 ] with still some chances to create some problems (even if h2-[ h3 ] would have saved white). But again he played "simple".
 [ B g7 ] , [ N c3 ]  I'll try to defend the d pawn as long as possible to limitate white's pawn developement (see above).
 [ N x c4 ]  [ K f2 ]  [ h5 ]  [ R e c1 ]  [ N d6 ]  [ R x c8 + ]  [ N x c8 ]  [ R c1 ]  [ N a7 ]  [ R c7 ]  [ N b5 ]  [ R b7 ]  [ R g7 ] , [ R x b6 ]  Right now I offered a draw. Now I don't think I should have. I expected white to soon take my a pawn after which I would have had an advantage with my knight over the bishop in the closed kingside. on the other hand my rook was blocked by pawns while my opponent's rook was active. So overall was my draw offer justified?
 [ K g3 ] , [ N f5 + ]  !! He has to sac his queen!
 [ d x e4 ] , [ N a3 ]  White needs development but this move looks wasted. Now his queen is hanging and he can't recapture on e4. But I couldn't see a way of taking advantage of the hanging queen so after quite a bit of thought I decided on the following combination:
 [ B e5 ]  [ f6 ]  [ B g6 + ]  [ K e7 ] , [ O-O ]  I was not very smart in castling because he can take my bishop
 [ N f3 ]  [ N c6 ]  [ B b5 ] , [ f5 ]  I actually think this is sound having analysed it and this is what I would play OTB were I to take up 1...[ e5 ] again although I have lost every game I've played with it on here bar this one!
 [ h x g4 ]  [ f x g4 ]  [ B x h4 ]  [ R h5 ]  [ B f6 ]  [ K f4 ]  [ d4 ]  [ c x d4 ]  [ B x d4 ]  [ R h2 ]  [ B a4 ]  [ K e4 ]  [ B f6 ]  [ K d5 ]  [ c3 ]  [ b x c3 ]  [ B x c3 ]  [ K c4 ]  [ B f6 ]  [ K b4 ]  [ B c6 ]  [ a4 ]  [ K g5 ]  [ a5 ]  [ K x g4 ]  [ R f2 ]  [ B e7 + ]  [ K c4 ] , [ b5 + ]  
 [ N f4 + ]  [ K f5 ]  [ N e2 ]  [ R d3 + ]  [ K e1 ]  [ R e3 ] , [ K d2 ]  Note the repetitions. I moved my rook from [ c3 ] to [ e3 ] without using a turn.
 [ N x f6 + ]  [ B x f6 ]  [ B x f6 ]  [ Q x f6 ]  [ B x c4 ]  [ R f e8 ] , [ R f d1 ]  Judging the finish of the game it might have been better to exchange the light-squared bishops.
 [ N f3 ] , [ B g4 ]  [ B g4 ] felt stronger then Bf5. if [ B f5 ] was played then I had some concerns regarding [ B d3 ] which could follow. Looking back to it I should have been content with trading off our strong pieces.
 [ Q e3 + ] , [ K b4 ]  Keeping his [ a3 ] and [ c2 ] pawns protected.
 [ R f h1 ]  [ Q f5 ]  [ R h5 ]  [ g5 ] , [ N e4 ]  White could have played 17.Bxg5.
 [ g5 ]  [ c4 ]  [ b x c4 ] , [ R x c4 ]  breaking through the c file...
 [ e3 ]  [ B d6 ]  [ B e5 ]  [ N b d7 ]  [ N c3 ]  [ O-O ]  [ B e2 ]  [ a6 ]  [ O-O ]  [ R e8 ]  [ h3 ]  [ B f8 ] , [ c5 ]  So far this is turning into exactly the sort of game Al likes best - closed featuring incremental positional maneuvering with a slow deliberate build-up to the final attack. Fischer remarked about this style (speaking specifically of the late German GM Wolfgang Unzicker as I recall although he could have as easily mentioned Tigran Petrosian and later Anatoly Karpov) that if this patient constricting style doesn't produce a win then it almost always has the not necessarily unhappy consequence of producing a draw.
 [ N a5 ]  [ Q b4 ]  [ B f5 ]  [ N g3 ]  [ B d3 ]  [ R f e1 ]  [ N c4 ]  [ a4 ]  [ N x d2 ]  [ N x d2 ]  [ a5 ]  [ Q b3 ] , [ g6 ]  Panicking by now because I haven't castled yet.
 [ Q c2 ]  [ B b7 ]  [ e3 ]  [ O-O ]  [ B d3 ] , [ N f6 ]  Playing defensively. Not like me. [ f5 ] OR [ N x c3 ] would have been sharper! Would have kept him blocked in.
 [ d x e5 ]  [ B b4 ]  [ B d2 ]  [ B g4 ]  [ h3 ]  [ B x f3 ] , [ e x f3 ]  Exchange of pieces.
 [ g x f6 ]  [ R x f6 ] , [ R e5 ]  Centralization of the rook? Hmmm.
 [ N f6 ]  [ d3 ] , [ d5 ]  The threat is easily deflected so it's time to begin the punishment for a silly opening.
 [ e x d5 ] , [ R b1 ]  ?? I am trying to get him to move the b pawn. It seems SO smart to move here. If he advances the b pawn I can move my Bishop to [ b5 ] and cause all sorts of mischief.
 [ R x b1 ]  [ N e4 ] , [ a3 ]  yes. Now Black is really threatening to play Bb4ch forcing [ K e2 ] where his pieces may have trouble getting his pieces out. good.also the space gaining [ b4 ] is an idea.
 [ N x a4 ] , [ N x e4 ]  Before throwing forward the b-pawn Black wants to get as much material for the Knight as he can. So we snap up the loose e-pawn.
 [ e4 ]  [ e5 ]  [ N f3 ]  [ N c6 ]  [ B c4 ]  [ B c5 ]  [ N c3 ]  [ N f6 ] , [ O-O ]  Didin't want to play d3. Was punished by gmkonig in a previous game.
 [ K f4 ] , [ B c7 ]  
 [ f4 ] , [ N b3 ]  White has pressure on the a-pawn so Black traded pawns. I thought [ b6 ] was better.
 [ B d4 ] , [ Q f3 ]  Sucked into the trap of the Knight sacrifice black moves in for the kill unwittingly having missed the inevitable mate against himself.
 [ b x c6 ]  [ c x d6 ]  [ Q x d6 ]  [ B g2 ]  [ R b8 ]  [ Q c3 ] , [ B a6 ]  Black wants to prevent white from castling and tries to set up a trap.
 [ N d4 ]  [ N x g3 ]  [ f x g3 ]  [ B c5 ]  [ N c e2 ]  [ Q b7 ]  [ R a b1 ]  [ B f5 ]  [ b3 ]  [ R c8 ]  [ Q g5 ]  [ B e6 ]  [ Q g7 ]  [ K d7 ]  [ c3 ] , [ R c g8 ]  you'll have to forgive me I have physical problems that are forcing me to cut the game short
 [ K h6 ]  [ R e6 ]  [ K g6 ]  [ R e7 ]  [ R d6 ] , [ R e8 ]  He can advance pawns but it will just provide my R more space to harass him.
 [ B b7 ]  [ d3 ]  [ B e7 ]  [ N e2 ]  [ d6 ] , [ g4 ]  9. [ g4 ] - a pawn push designed to deter me from castling kingside.
 [ O-O ]  [ N f5 ]  [ B g5 ] , [ h4 ]  (?!) Again marked as inaccuracy by the computer analysis which suggests 29. Bb4. Probably I was too enthusiastic.
 [ Q c8 ]  [ O-O ] , [ B g7 ]  Wanting to stop swap one of the doubled pawns black sees that if he moves the knight our of the way he can play [ e5 ] but that wastes three moves including this one.
 [ Q d2 ]  [ Q x d2 ]  [ R x d2 ]  [ B c1 ]  [ R c2 ]  [ B f4 + ]  [ K g2 ]  [ N x a5 ]  [ g5 ]  [ h6 ]  [ h4 ]  [ N c4 ]  [ N c3 ]  [ R c8 ] , [ K h3 ]  Alternative variation: 36. [ R a2 ] [ N x e5 ] 37. [ N x d5 ] [ e x d5 ] 38. [ d x e5 ] [ b5 ] $17
 [ a5 ] , [ N d2 ]  It works here too though! =)
 [ N d7 ]  [ N e2 ] , [ R x b3 ]  Oh my gosh! She has broken through recovered the pawn with advantage. Perhaps winning the pawn was not such a good idea after all. What do you think dear reader?
 [ Q x d8 + ]  [ B x d8 ] , [ B c6 ]  As now her back rank is weakened. It'll be difficult to defend this position without losing material. I did get ideas from Ken in our training game which I'll discuss as it blends in with our first lesson. And it's the same lesson that I forgot with Bernard when distracted and consequently was punished.
 [ N f3 ]  [ N f6 ]  [ d4 ]  [ d5 ]  [ e3 ]  [ e6 ]  [ b3 ]  [ c5 ]  [ B b2 ] , [ N c6 ]  I've been experimenting with this Zukertort setup for White.
 [ N x a7 + ]  [ R x a7 ] , [ h x g3 ]  Last chance to go wrong: [ g x f3 ] [ B x f3 ] and all my advantage vanishes. He thinks he's safe because of the Q but...
 [ N x d6 + ] , [ Q x d6 ]  ?? aah! why? [ K f8 ] would've been fine a little unpleasant but fine.
 [ N f2 ]  [ Q d2 ]  [ N x h1 ]  [ K x h1 ] , [ d6 ]  That is proven here as now not only has he developed a center pawn; but even with the bad B he can still bring it to d7. And if ever ...[ e5 ] that would change into being a good B.
 [ Q e6 + ] , [ K h8 ]  And now i just have to push my panws to promote !
 [ e5 ]  [ B f5 ]  [ N f3 ]  [ N d7 ]  [ B e2 ] , [ f6 ]  ...[ e6 ] looks better because it protects the bishop.
